id,prompt,label,reasoning,rung,query_type,graph_id,story_id,question_property,formal_form
8,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. The overall probability of alarm set by husband is 77%. For husbands that don't set the alarm, the probability of ringing alarm is 26%. For husbands that set the alarm, the probability of ringing alarm is 76%. Is ringing alarm more likely than silent alarm overall?",yes,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.77
P(Y=1 | X=0) = 0.26
P(Y=1 | X=1) = 0.76
0.77*0.76 - 0.23*0.26 = 0.64
0.64 > 0",1,marginal,mediation,alarm,easy,P(Y)
32,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 51%. For husbands that set the alarm, the probability of ringing alarm is 49%. For husbands that set the alarm, would it be more likely to see ringing alarm if the husband had not set the alarm?",yes,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y_{X = 1} - Y_{X = 0} | X = 1]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.51
P(Y=1 | X=1) = 0.49
0.49 - 0.51 = -0.03
-0.03 < 0",3,ett,mediation,alarm,easy,E[Y_{X = 1} - Y_{X = 0} | X = 1]
72,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. Method 1: We look at how husband correlates with alarm clock case by case according to wife. Method 2: We look directly at how husband correlates with alarm clock in general. To understand how husband affects alarm clock, is it more correct to use the Method 1 than Method 2?",no,"nan
nan
nan
nan
nan
nan
nan",2,backadj,mediation,alarm,easy,[backdoor adjustment set for Y given X]
80,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. The overall probability of alarm set by husband is 81%. For husbands that don't set the alarm, the probability of ringing alarm is 21%. For husbands that set the alarm, the probability of ringing alarm is 86%. Is ringing alarm more likely than silent alarm overall?",yes,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
P(Y)
P(Y | X=1)*P(X=1) + P(Y | X=0)*P(X=0)
P(X=1) = 0.81
P(Y=1 | X=0) = 0.21
P(Y=1 | X=1) = 0.86
0.81*0.86 - 0.19*0.21 = 0.74
0.74 > 0",1,marginal,mediation,alarm,easy,P(Y)
88,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm and wives that don't set the alarm, the probability of ringing alarm is 6%. For husbands that don't set the alarm and wives that set the alarm, the probability of ringing alarm is 49%. For husbands that set the alarm and wives that don't set the alarm, the probability of ringing alarm is 54%. For husbands that set the alarm and wives that set the alarm, the probability of ringing alarm is 99%. For husbands that don't set the alarm, the probability of alarm set by wife is 94%. For husbands that set the alarm, the probability of alarm set by wife is 50%. If we disregard the mediation effect through wife, would husband positively affect alarm clock?",yes,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]
\sum_{V2=v} P(V2=v|X=0)*[P(Y=1|X=1,V2=v) - P(Y=1|X=0, V2=v)]
P(Y=1 | X=0, V2=0) = 0.06
P(Y=1 | X=0, V2=1) = 0.49
P(Y=1 | X=1, V2=0) = 0.54
P(Y=1 | X=1, V2=1) = 0.99
P(V2=1 | X=0) = 0.94
P(V2=1 | X=1) = 0.50
0.94 * (0.99 - 0.54) + 0.50 * (0.49 - 0.06) = 0.50
0.50 > 0",3,nde,mediation,alarm,easy,"E[Y_{X=1, V2=0} - Y_{X=0, V2=0}]"
128,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: Husband has a direct effect on wife and alarm clock. Wife has a direct effect on alarm clock. For husbands that don't set the alarm, the probability of ringing alarm is 53%. For husbands that set the alarm, the probability of ringing alarm is 82%. Will alarm set by husband decrease the chance of ringing alarm?",no,"Let X = husband; V2 = wife; Y = alarm clock.
X->V2,X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y=1|X=1) - P(Y=1|X=0)
P(Y=1 | X=0) = 0.53
P(Y=1 | X=1) = 0.82
0.82 - 0.53 = 0.29
0.29 > 0",2,ate,mediation,alarm,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
160,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 38%. For people who blow out candles, the probability of dark room is 74%. Will blowing out the candle increase the chance of dark room?",yes,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.38
P(Y=1 | X=1) = 0.74
0.74 - 0.38 = 0.36
0.36 > 0",2,ate,fork,candle,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
176,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. The overall probability of blowing out the candle is 43%. The probability of not blowing out the candle and dark room is 22%. The probability of blowing out the candle and dark room is 31%. Is the chance of dark room larger when observing blowing out the candle?",yes,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
P(Y | X)
P(X = 1, Y = 1)/P(X = 1) - P(X = 0, Y = 1)/P(X = 0)
P(X=1=1) = 0.43
P(Y=1, X=0=1) = 0.22
P(Y=1, X=1=1) = 0.31
0.31/0.43 - 0.22/0.57 = 0.33
0.33 > 0",1,correlation,fork,candle,easy,P(Y | X)
184,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. Method 1: We look directly at how the man in the room correlates with room in general. Method 2: We look at this correlation case by case according to the candle. To understand how the man in the room affects room, is it more correct to use the Method 1 than Method 2?",yes,"nan
nan
nan
nan
nan
nan
nan",2,backadj,fork,candle,easy,[backdoor adjustment set for Y given X]
216,"Imagine a self-contained, hypothetical world with only the following conditions, and without any unmentioned factors or causal relationships: The man in the room has a direct effect on room. The candle has a direct effect on room. For people not blowing out candles, the probability of dark room is 30%. For people who blow out candles, the probability of dark room is 63%. Will blowing out the candle decrease the chance of dark room?",no,"Let V2 = the candle; X = the man in the room; Y = room.
X->Y,V2->Y
E[Y | do(X = 1)] - E[Y | do(X = 0)]
P(Y|X)
P(Y=1 | X=0) = 0.30
P(Y=1 | X=1) = 0.63
0.63 - 0.30 = 0.33
0.33 > 0",2,ate,fork,candle,easy,E[Y | do(X = 1)] - E[Y | do(X = 0)]
